date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:27	6493/6493	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-6.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-6.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:27	25041/25041	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-5.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-5.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:28	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:28%20GMT	https://web-spark.yolasite.com/ws/block-templates/cover-with-contact-form/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/cover-with-contact-form/index.31.delayed	(from https://web-spark.yolasite.com/)
09:41:31	27691/27691	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/media-library/3a281b5a2bc84837ae8436f58ab8c5de/heading-bg.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/media-library/3a281b5a2bc84837ae8436f58ab8c5de/heading-bg.jpg	(from https://web-spark.yolasite.com/)
09:41:31	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:31%20GMT	https://web-spark.yolasite.com/ws/block-templates/footer/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/footer/index.html	(from https://web-spark.yolasite.com/)
09:41:32	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:32%20GMT	https://web-spark.yolasite.com/ws/globals/global-footer/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/global-footer/index.html	(from https://web-spark.yolasite.com/)
09:41:35	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:35%20GMT	https://web-spark.yolasite.com/ws/globals/footer-code/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/footer-code/index.html	(from https://web-spark.yolasite.com/)
09:41:39	228884/228884	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/bundles/css/289fe60859bc9f1327ea80cc5673906c.css	E:/Test/Gestor/web-spark.yolasite.com/ws/bundles/css/289fe60859bc9f1327ea80cc5673906c.css	(from https://web-spark.yolasite.com/services/)
09:41:41	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:40%20GMT	https://web-spark.yolasite.com/ws/block-templates/features-with-icons/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/features-with-icons/index.html	(from https://web-spark.yolasite.com/services/)
09:41:43	531/531	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/features-with-icons/icons/heart-2800.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/features-with-icons/icons/heart-2800.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/services/)
09:41:43	467675/467675	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/bundles/js/5569508b4a45d8894d1e234b6df2349d.js	E:/Test/Gestor/web-spark.yolasite.com/ws/bundles/js/5569508b4a45d8894d1e234b6df2349d.js	(from https://web-spark.yolasite.com/)
09:41:43	637/637	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/features-with-icons/icons/diamond-2813.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/features-with-icons/icons/diamond-2813.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/services/)
09:41:44	826/826	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/features-with-icons/icons/luxury-2814.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/features-with-icons/icons/luxury-2814.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/services/)
09:41:44	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:44%20GMT	https://web-spark.yolasite.com/ws/block-templates/product-with-media/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/product-with-media/index.html	(from https://web-spark.yolasite.com/services/)
09:41:45	111285/111285	---M-Z	200	added ('OK')	application/javascript	etag:W/%221b2b5-zMYJPjAi3UJGO/nMF+QQyogwa0k%22	https://unpkg.com/@webcomponents/webcomponentsjs@2.2.10/webcomponents-bundle.js	E:/Test/Gestor/unpkg.com/@webcomponents/webcomponentsjs@2.2.10/webcomponents-bundle.js	(from https://web-spark.yolasite.com/)
09:41:47	12854/12854	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/product-with-media/images/image-1.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/product-with-media/images/image-1.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/services/)
09:45:31	54961/54961	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/cta-with-extra-content/images/image-1.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/cta-with-extra-content/images/image-1.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/)
